step,td_loss_agent0,td_loss_agent1,td_loss_agent2
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31,14.291909,18.962347,21.325165
32,12.609321,16.687134,17.05372
33,12.0582905,14.033747,16.064014
34,11.564236,12.617865,14.032516
35,10.037098,13.684529,14.600975
36,10.815113,12.366447,13.42379
37,10.747572,11.136581,11.90908
38,8.928889,10.548736,9.812977
39,9.444244,9.143742,9.266073
40,7.414483,10.70426,8.525466
41,6.1018367,8.33253,9.398349
42,5.994131,10.31234,9.582211
43,6.7400246,9.88528,9.15824
44,4.1335907,7.593938,4.480667
45,5.6332293,7.4111905,7.040885
46,3.9178987,5.660368,7.1434593
47,4.801323,5.6057777,5.7074146
48,4.271872,5.430485,5.74049
49,5.283658,4.4413824,4.557887
50,5.214093,3.0207782,4.934964
51,4.450153,5.32896,4.821717
52,4.6143064,5.554714,4.118401
53,2.151525,5.251096,3.5720816
54,2.2740116,4.5357265,3.6495185
55,5.000439,2.4723914,3.9658794
56,3.8004236,2.1100292,3.1029348
57,2.050232,3.1920853,3.2273588
58,1.8197241,3.7297106,2.3010468
59,2.9371808,2.5682065,2.6884227
60,2.070106,2.952481,2.6811934
61,2.705347,2.837628,1.9812703
62,2.09291,2.8245893,2.0011656
63,2.673069,3.5017307,2.6719103
64,2.2916648,2.9018965,2.2518902
65,3.3113956,2.8798466,3.239848
66,2.338296,2.8454747,1.9096627
67,2.0462632,3.0690513,1.6667471
68,2.7966552,2.466355,0.8926315
69,2.31663,2.536723,1.4995532
70,2.8355842,2.5162883,2.318984
71,2.1787825,3.529232,1.671937
72,1.0765961,1.927729,1.454853
73,3.3287659,1.6934754,1.4678891
74,1.9190011,1.7779045,1.3626708
75,1.9534922,2.4322362,1.6835366
76,3.05559,1.6805482,1.7574041
77,2.9285011,2.1266263,0.9706719
78,2.5586863,2.4783664,0.811711
79,1.0307267,2.2567172,1.9728994
80,1.8207791,1.6250219,2.3371058
81,2.0946393,2.07197,1.4889352
82,2.4306474,1.2186322,1.2994742
83,1.722837,2.119392,1.8523842
84,1.650111,2.0802279,1.6077731
85,1.9310937,1.143946,2.624342
86,1.38243,1.3760116,1.0157155
87,1.6325412,1.2698598,1.3508018
88,2.5046487,1.7176762,1.065932
89,2.6126604,1.9664923,0.9747866
90,2.142514,1.1946409,1.0094097
91,2.2162135,1.4972912,0.8010677
92,2.0500531,2.1057754,1.9995723
93,1.6270652,1.5291393,1.6336884
94,1.8021371,2.6272864,0.78108394
95,2.1027634,2.1100008,1.8911088
96,1.3746276,2.14295,1.9757574
97,1.3110929,2.1735525,0.603867
98,2.8611975,3.25979,1.7562375
99,1.9430289,1.6799046,1.3919393
100,1.4770544,1.6458435,0.4121139
101,3.0839467,1.4036852,1.3063236
