step,td_loss_agent0,td_loss_agent1,td_loss_agent2,td_loss_agent3,td_loss_agent4
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31,21.188862,26.105438,18.311966,21.303116,17.747246
32,17.06179,23.120144,14.633192,18.611917,16.206665
33,16.682749,21.02698,14.35376,16.737228,15.088182
34,15.140203,20.92081,11.673683,15.363182,14.609563
35,14.158766,16.782326,11.570795,14.5959215,11.914124
36,12.862211,16.172134,13.04389,12.367391,11.650328
37,12.11033,16.041092,10.231067,13.265809,11.30089
38,12.826435,15.054487,10.620117,11.0960865,9.284807
39,10.0233345,13.489986,7.850602,8.539509,8.271154
40,8.741008,12.038985,7.6323752,10.204502,8.955647
41,7.7350616,9.823253,6.701964,6.5937004,6.6546574
42,7.2891254,8.438899,6.249462,9.1978245,7.9083586
43,7.888585,6.9545016,5.4875617,8.261082,6.606963
44,5.753963,8.607216,6.628083,6.645668,7.043085
45,6.1839547,6.367924,6.6499147,6.709575,5.9276667
46,6.120286,5.8907337,4.098525,7.4698715,6.4082465
47,3.7974236,5.375309,5.017914,7.0857296,5.090948
48,4.0612555,6.408427,5.373986,5.8330493,4.7652907
49,4.27159,6.014883,4.781759,5.9519043,5.3768587
50,5.835311,5.028014,4.9765425,5.126972,4.9659033
51,5.0141125,3.9039454,5.1307597,5.922703,4.107795
52,4.912304,5.6507416,4.5796795,5.869178,4.9307437
53,2.4989128,3.9412408,3.2131186,6.2939305,4.4015093
54,3.1663058,4.7188654,3.9328632,5.5974584,3.6786628
55,2.6934664,4.27792,4.2021575,5.14075,3.5087528
56,3.8355498,3.8327148,3.2571964,4.6985755,3.679522
57,2.5069075,3.914485,3.2649817,4.379039,2.413636
58,1.5521866,4.059624,4.191323,4.0241776,2.6719577
59,2.3640206,3.8368707,2.441697,3.445932,2.062582
60,1.8532269,4.6531477,2.9733465,4.0447373,3.048078
61,2.0181563,4.321098,2.790111,5.1492434,2.1920524
62,1.6193571,3.286789,1.0524889,3.3988998,1.964921
63,1.5623032,2.715748,1.0649707,4.8441763,2.0054722
64,2.227341,2.853222,2.773801,2.9490047,1.7567987
65,1.9095931,2.752218,1.5604846,2.7980967,2.233673
66,1.5282645,2.5380936,2.0828938,3.827711,1.6256964
67,2.151761,3.2814124,2.417639,3.1555336,1.7471142
68,2.522578,2.118896,2.5176876,1.9211065,1.7523273
69,2.080392,2.1468468,2.7451448,2.4600775,1.7226276
70,2.0342119,1.9206488,2.2572863,2.477528,1.6742932
71,1.7514296,1.7329286,2.0427434,2.8233871,1.8564216
72,1.408148,1.533946,1.5416248,1.0196855,1.1853561
73,2.4974387,1.9419823,2.209679,2.2582507,1.4436976
74,1.5218797,1.8468485,2.5582213,2.0546775,1.7490715
75,1.185718,1.6904085,2.3761716,2.3708959,1.3654716
